#{"t_start": 1629104187.8156524, "env_id": "PandaTouchEnv_color-v0"}
r,l,t
0.0,1,5.736541
0.0,2,6.884333
0.0,3,7.931549
0.0,4,8.986805
0.0,5,10.018395
0.0,6,11.055045
0.0,7,12.095577
0.0,8,13.147607
0.0,9,14.199875
0.0,10,15.248484
0.0,11,16.247599
0.0,12,17.222407
0.0,13,18.314215
0.0,14,19.355446
0.0,15,20.399829
0.0,16,21.455599
0.0,17,22.55637
0.0,18,23.547093
0.0,19,24.517968
0.0,20,25.469457
0.0,21,26.420706
0.0,22,27.370746
0.0,23,28.322661
0.0,24,29.279714
0.0,25,30.357693
0.0,26,31.445296
0.0,27,32.425838
0.0,28,33.394835
0.0,29,34.356489
0.0,30,35.351525
0.0,31,36.341919
0.0,32,37.295689
0.0,33,38.25213
0.0,34,39.204181
0.0,35,40.202761
0.0,36,41.251577
0.0,37,42.500147
0.0,38,43.649295
0.0,39,44.625372
0.0,40,45.621723
0.0,41,46.621617
0.0,42,47.605034
0.0,43,48.642092
0.0,44,49.732206
0.0,45,50.813723
0.0,46,51.923772
0.0,47,52.958245
0.0,48,53.920172
0.0,49,54.886853
0.0,50,55.844706
0.0,51,56.823364
0.0,52,57.780802
0.0,53,58.742188
0.0,54,59.694263
0.0,55,60.650869
0.0,56,61.603046
0.0,57,62.564518
0.0,58,63.516303
0.0,59,64.465995
0.0,60,65.421363
0.0,61,66.377266
0.0,62,67.337105
0.0,63,68.292948
0.0,64,69.246305
0.0,65,70.198776
0.0,66,71.15801
0.0,67,72.116838
0.0,68,73.080017
0.0,69,74.045657
0.0,70,75.000652
0.0,71,75.957773
0.0,72,76.91378
0.0,73,77.874425
0.0,74,78.836692
0.0,75,79.796942
0.0,76,80.753222
0.0,77,81.715511
0.0,78,82.668997
0.0,79,83.623242
0.0,80,84.578873
0.0,81,85.537149
0.0,82,86.500975
0.0,83,87.452608
0.0,84,88.415156
0.0,85,89.374334
0.0,86,90.329393
0.0,87,91.291185
0.0,88,92.25543
0.0,89,93.209426
0.0,90,94.163887
0.0,91,95.117251
0.0,92,96.075529
0.0,93,97.033791
0.0,94,97.990301
0.0,95,98.944848
0.0,96,99.903208
0.0,97,100.858488
0.0,98,101.808751
0.0,99,102.771606
0.0,100,103.725796
0.0,101,104.675215
0.0,102,105.631003
0.0,103,106.583984
0.0,104,107.55981
0.0,105,108.513362
0.0,106,109.470869
0.0,107,110.424969
0.0,108,111.380461
0.0,109,112.336678
0.0,110,113.286757
0.0,111,114.240071
0.0,112,115.196056
0.0,113,116.152836
0.0,114,117.112823
0.0,115,118.071241
0.0,116,119.031114
0.0,117,119.989896
0.0,118,120.945902
0.0,119,121.902411
0.0,120,122.897838
0.0,121,123.941167
0.0,122,124.95801
0.0,123,125.936022
0.0,124,126.901683
0.0,125,127.90424
0.0,126,128.91392
0.0,127,129.903908
0.0,128,130.910819
0.0,129,131.905053
0.0,130,132.95251
0.0,131,133.941097
0.0,132,134.965012
0.0,133,135.967549
0.0,134,137.014277
0.0,135,138.056948
0.0,136,139.081841
0.0,137,140.157477
0.0,138,141.114041
0.0,139,142.069906
0.0,140,143.025385
0.0,141,143.980039
0.0,142,144.957564
0.0,143,145.914159
0.0,144,146.865106
0.0,145,147.814501
0.0,146,148.76558
0.0,147,149.723426
0.0,148,150.67624
0.0,149,151.628613
0.0,150,152.579691
0.0,151,153.539722
0.0,152,154.49294
0.0,153,155.443067
0.0,154,156.394543
0.0,155,157.350632
0.0,156,158.306623
0.0,157,159.257676
0.0,158,160.211591
0.0,159,161.167431
0.0,160,162.118296
0.0,161,163.069296
0.0,162,164.020353
0.0,163,164.972904
0.0,164,165.932813
0.0,165,166.891503
0.0,166,167.845099
0.0,167,168.801019
0.0,168,169.755543
0.0,169,170.710594
0.0,170,171.666191
0.0,171,172.617939
0.0,172,173.573001
0.0,173,174.52932
0.0,174,175.482334
0.0,175,176.443651
0.0,176,177.438071
0.0,177,178.527118
0.0,178,179.593334
0.0,179,180.567574
0.0,180,181.546889
0.0,181,182.505908
0.0,182,183.46245
0.0,183,184.441827
0.0,184,185.403548
0.0,185,186.369598
0.0,186,187.334167
0.0,187,188.2951
0.0,188,189.253121
0.0,189,190.214428
0.0,190,191.1733
0.0,191,192.1259
0.0,192,193.089977
0.0,193,194.051225
0.0,194,195.014834
0.0,195,195.977611
0.0,196,196.932345
0.0,197,197.888434
0.0,198,198.851663
0.0,199,199.809619
0.0,200,200.765137
0.0,201,201.722036
0.0,202,202.686625
0.0,203,203.647268
0.0,204,204.610081
0.0,205,205.568648
0.0,206,206.529397
0.0,207,207.48536
0.0,208,208.456969
0.0,209,209.416754
0.0,210,210.370637
0.0,211,211.336823
0.0,212,212.293866
0.0,213,213.249312
0.0,214,214.206077
0.0,215,215.193087
0.0,216,216.148745
0.0,217,217.107739
0.0,218,218.070097
0.0,219,219.027735
0.0,220,219.984087
0.0,221,220.93707
0.0,222,221.89232
0.0,223,222.850752
0.0,224,223.80997
0.0,225,224.762259
0.0,226,225.723408
0.0,227,226.686287
0.0,228,227.64375
0.0,229,228.601238
0.0,230,229.56523
0.0,231,230.525278
0.0,232,231.484701
0.0,233,232.442992
0.0,234,233.40588
0.0,235,234.367008
0.0,236,235.321026
0.0,237,236.284548
0.0,238,237.247232
0.0,239,238.206917
0.0,240,239.166706
0.0,241,240.142739
0.0,242,241.102241
0.0,243,242.072338
0.0,244,243.038538
0.0,245,244.002669
0.0,246,244.963027
0.0,247,245.924699
0.0,248,246.881225
0.0,249,247.83935
0.0,250,248.798478
0.0,1,250.247264
0.0,2,251.18908
0.0,3,252.134851
0.0,4,253.074079
0.0,5,254.021846
0.0,6,254.969312
0.0,7,255.914331
0.0,8,256.856539
0.0,9,257.808877
0.0,10,258.764402
0.0,11,259.716621
0.0,12,260.670733
0.0,13,261.62339
0.0,14,262.583853
0.0,15,263.540471
0.0,16,264.494688
0.0,17,265.447723
0.0,18,266.457038
0.0,19,267.543364
0.0,20,268.623381
0.0,21,269.66285
0.0,22,270.644873
0.0,23,271.631168
0.0,24,272.64022
0.0,25,273.626985
0.0,26,274.672585
0.0,27,275.78798
0.0,28,276.952218
0.0,29,277.984503
0.0,30,279.024823
0.0,31,279.996356
0.0,32,280.952961
0.0,33,281.91048
0.0,34,282.88589
0.0,35,283.89895
0.0,36,284.908469
0.0,37,285.971503
0.0,38,287.102221
0.0,39,288.2147
